Danh sách sản phẩm rủi ro cao,,,,
STT,Tên SPHH,Quy chuẩn kỹ thuật áp dụng,Các công ty,Ảnh hưởng của Dự thảo nghị định 2542 /BCT-ĐCK
I,Tiền chất thuốc nổ,,,
1,Amoni nitrat (NH4NO3) dạng tỉnh thể dùng để sản xuất thuốc nổ nhũ tương,QCVN 05:2015/BCT,"1. DN sản xuất VLNCN
- Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin (MICCO)

2. DN sản xuất hóa chất nền
- Tập đoàn Công nghiệp Hóa chất Việt Nam (Vinachem)

3. Nhóm công ty nhập khẩu – kinh doanh hóa chất (chỉ liên quan khi cung cấp nguyên liệu cho Vinacomin)
- Công ty TNHH Hóa chất VietChem
- Công ty Cổ phần Hóa chất và Thiết bị Kim Ngưu
- Công ty TNHH Hóa chất Nam Bình
- Công ty TNHH Hóa chất Gia Hoàng",
2,Amoni nitrat (NH4NO3) dạng hạt xốp dùng để sản xuất thuốc nổ ANFO,QCVN 03:2012/BCT,,
3,Natri nitrat (NaNO3) sử dụng để sản xuất vật liệu nổ công nghiệp,QCVN 04A:2020/BCT,,
4,Natri clorat (NaCIO3) sử dụng để sản xuất vật liệu nổ công nghiệp,QCVN 04A:2020/BCT,,
5,Kali nitrat (KNO3) sử dụng để sản xuất vật liệu nổ công nghiệp,QCVN 04A:2020/BCT,,
6,Kali clorat (KCIO3) sử dụng để sản xuất vật liệu nổ công nghiệp,QCVN 04A:2020/BCT,,
7,Kali perclorat (KCIO4) sử dụng để sản xuất vật liệu nổ công nghiệp,QCVN 04A:2020/BCT,,
II,Đồ uống,,,
1,Đồ uống không cồn,QCVN 6-2:2010/BYT,"- Công ty TNHH Nước giải khát Suntory PepsiCo Việt Nam
- Công ty TNHH Nước giải khát Coca-Cola Việt Nam
- Công ty TNHH Thương mại - Dịch vụ Tân Hiệp Phát
- Công ty TNHH URC Việt Nam
- Công ty Cổ phần Thực phẩm Nước giải khát Nam Việt (Vinut)
- Công ty TNHH Nước khoáng Lavie
- Công ty Cổ phần Nước khoáng Vĩnh Hảo",
2,Đồ uống có cồn,QCVN 6-3:2010/BYT,"- Tổng công ty Bia – Rượu – Nước giải khát Sài Gòn (SABECO)
- Tổng công ty Bia – Rượu – Nước giải khát Hà Nội (HABECO)
- Heineken Việt Nam
- Carlsberg Việt Nam
- Công ty Cổ phần Cồn Rượu Hà Nội (Halico)
- Công ty TNHH MTV Rượu Bình Tây
- Công ty TNHH Vang Đà Lạt
- Heart of Darkness Brewery
- East West Brewing Co.
- Công ty TNHH Pernod Ricard Việt Nam (phân phối)
- Công ty TNHH Diageo Việt Nam (phân phối)",
3,Sữa dạng lỏng,"QCVN 28:2026/BCT
QCVN 5-4:2010/BYT","- Công ty Cổ phần Sữa Việt Nam (Vinamilk)
- Công ty Cổ phần Chuỗi Thực phẩm TH (TH True Milk)
- Công ty Cổ phần Giống bò sữa Mộc Châu (Mộc Châu Milk)
- Công ty Cổ phần Sữa Đà Lạt (Dalat Milk)
- Công ty Cổ phần Sữa Ba Vì
- Công ty TNHH MTV Sữa Lothamilk
- Công ty Cổ phần Sữa Quốc tế (IDP)
- Công ty TNHH FrieslandCampina Việt Nam (Dutch Lady)
- Công ty TNHH Nestlé Việt Nam",
4,Sữa dạng bột,"QCVN 5-2:2010/BYТ
QCVN 5-4:2010/BYT","- Công ty Cổ phần Sữa Việt Nam (Vinamilk)
- Công ty Cổ phần Chuỗi Thực phẩm TH (TH True Milk)
- Công ty Cổ phần Giống bò sữa Mộc Châu (Mộc Châu Milk)
- Công ty Cổ phần Sữa Quốc tế (IDP)
- Công ty TNHH FrieslandCampinaViệt Nam (Dutch Lady)
- Công ty TNHH Nestlé Việt Nam
- Công ty TNHH Abbott Healthcare Việt Nam
- Công ty TNHH Thương mại New Viet Dairy (phân phối)
- Công ty TNHH DKSH Việt Nam (phân phối)",
5,Sữa lên men,"QCVN 5-4:2010/BYT
QCVN 5-5:2010/BYT","- Công ty Cổ phần Sữa Việt Nam (Vinamilk)
- Công ty Cổ phần Chuỗi Thực phẩm TH (TH True Milk)
- Công ty Cổ phần Giống bò sữa Mộc Châu (Mộc Châu Milk)
- Công ty Cổ phần Sữa Đà Lạt (Dalat Milk)
- Công ty Cổ phần Sữa Quốc tế (IDP)
- Công ty TNHH Yakult Việt Nam",
6,Chất béo từ sữa,QCVN 5-4:2010/BYT,"- Công ty Cổ phần Đại Tân Việt (New Viet Dairy)
- Công ty TNHH Fonterra Brands Việt Nam
- Công ty Cổ phần Chuỗi Thực phẩm TH (TH true Milk)",
7,Phomat,QCVN 5-3:2010/BYT,"- Công ty Cổ phần Sữa Việt Nam (Vinamilk)
- Công ty Cổ phần Chuỗi Thực phẩm TH (TH true Milk)
- Công ty TNHH FrieslandCampina Việt Nam
- Công ty TNHH Nestlé Việt Nam
- Công ty TNHH Bel Việt Nam (Bel Group – Pháp)
- Công ty Cổ phần Đại Tân Việt (New Viet Dairy) (phân phối)
- Công ty TNHH DKSH Việt Nam (phân phối)",
8,Sữa chế biến không chứa cacao,"QCVN 5-1:2010/BYT,
QCVN 5-2:2010/BYТ,
QCVN 5-3:2010/BYТ,
QCVN 5-4:2010/BYT","- Công ty Cổ phần Sữa Việt Nam (Vinamilk)
- Công ty Cổ phần Chuỗi Thực phẩm TH (TH True Milk)
- Công ty Cổ phần Giống bò sữa Mộc Châu (Mộc Châu Milk)
- Công ty Cổ phần Sữa Đà Lạt (Dalat Milk)
- Công ty Cổ phần Sữa Ba Vì
- Công ty TNHH MTV Sữa Lothamilk
- Công ty Cổ phần Sữa Quốc tế (IDP)
- Công ty TNHH FrieslandCampinaViệt Nam (Dutch Lady)
- Công ty TNHH Nestlé Việt Nam
- Công ty TNHH Abbott Healthcare Việt Nam
- Công ty TNHH Thương mại New Viet Dairy (phân phối)
- Công ty TNHH DKSH Việt Nam (phân phối)",
9,Dầu thực vật,QCVN 29:2026/BCT,"- Công ty Cổ phần Dầu thực vật Tường An
- Công ty Cổ phần Dầu thực vật Cái Lân (CALOFIC)
- Công ty Cổ phần Dầu thực vật Bình An
- Tổng công ty Công nghiệp Dầu thực vật Việt Nam (Vocarimex)
- Công ty Cổ phần Dầu thực vật Phú Mỹ
- Công ty Cổ phần Dầu thực vật Lâm Đồng",